"time","symbol","CCI"
2020-01-02,"jd",258.1053
2021-08-13,"baba",-150.798
2021-08-12,"baba",-141.0196
2021-08-11,"baba",-128.9337
2021-08-10,"baba",-126.4842
2021-08-09,"baba",-132.485
2021-08-06,"baba",-125.1046
2021-08-05,"baba",-119.7052
2021-08-04,"baba",-116.4752
2021-08-03,"baba",-130.2642
2021-08-02,"baba",-119.8732
2021-07-30,"baba",-135.9913
2021-07-29,"baba",-125.4085
2021-07-28,"baba",-134.9722
2021-07-27,"baba",-164.2352
2021-07-26,"baba",-139.0424
2021-07-23,"baba",-107.2537
2021-07-22,"baba",-84.2852
2021-07-21,"baba",-95.413
2021-07-20,"baba",-97.6866
2021-07-19,"baba",-105.816
2021-07-16,"baba",-90.9436
2021-07-15,"baba",-86.5846
2021-07-14,"baba",-92.3579
2021-07-13,"baba",-100.6989
2021-07-12,"baba",-115.597
2021-07-09,"baba",-117.0008
2021-07-08,"baba",-131.0824
2021-07-07,"baba",-107.8286
2021-07-06,"baba",-101.2705
2021-07-02,"baba",-86.6077
2021-07-01,"baba",-70.6255
2021-06-30,"baba",-63.9036
2021-06-29,"baba",-60.6802
2021-06-28,"baba",-59.8914
2021-06-25,"baba",-66.214
2021-06-24,"baba",-90.6786
2021-06-23,"baba",-99.9942
2021-06-22,"baba",-111.5055
2021-06-21,"baba",-113.6413
2021-06-18,"baba",-110.3423
2021-06-17,"baba",-114.0991
2021-06-16,"baba",-119.6796
2021-06-15,"baba",-116.481
2021-06-14,"baba",-111.2911
2021-06-11,"baba",-117.3976
2021-06-10,"baba",-115.1618
2021-06-09,"baba",-113.7486
2021-06-08,"baba",-110.0709
2021-06-07,"baba",-109.5227
2021-06-04,"baba",-106.9765
2021-06-03,"baba",-111.4953
2021-06-02,"baba",-108.2349
2021-06-01,"baba",-105.8702
2021-05-28,"baba",-127.2122
2021-05-27,"baba",-128.8372
2021-05-26,"baba",-134.1704
2021-05-25,"baba",-136.7855
2021-05-24,"baba",-143.8941
2021-05-21,"baba",-140.3567
2021-05-20,"baba",-131.6959
2021-05-19,"baba",-145.9925
2021-05-18,"baba",-143.3512
2021-05-17,"baba",-152.4747
2021-05-14,"baba",-162.484
2021-05-13,"baba",-165.5363
2021-05-12,"baba",-125.5929
2021-05-11,"baba",-136.3831
2021-05-10,"baba",-132.0061
2021-05-07,"baba",-113.0377
2021-05-06,"baba",-115.8611
2021-05-05,"baba",-112.0263
2021-05-04,"baba",-110.506
2021-05-03,"baba",-96.8403
2021-04-30,"baba",-99.5884
2021-04-29,"baba",-89.1886
2021-04-28,"baba",-80.9078
2021-04-27,"baba",-90.3138
2021-04-26,"baba",-100.7679
2021-04-23,"baba",-103.7333
2021-04-22,"baba",-110.0528
2021-04-21,"baba",-117.8698
2021-04-20,"baba",-108.7197
2021-04-19,"baba",-92.54
2021-04-16,"baba",-76.8036
2021-04-15,"baba",-76.1412
2021-04-14,"baba",-69.4905
2021-04-13,"baba",-63.5593
2021-04-12,"baba",-64.8711
2021-04-09,"baba",-129.6432
2021-04-08,"baba",-112.8247
2021-04-07,"baba",-119.3433
2021-04-06,"baba",-107.6129
2021-04-05,"baba",-123.5874
2021-04-01,"baba",-118.0465
2021-03-31,"baba",-111.3333
2021-03-30,"baba",-108.8784
2021-03-29,"baba",-104.8723
2021-03-26,"baba",-118.5807
2021-03-25,"baba",-121.2897
2021-03-24,"baba",-96.104
2021-03-23,"baba",-74.7197
2021-03-22,"baba",-78.1954
2021-03-19,"baba",-68.845
2021-03-18,"baba",-75.7214
2021-03-17,"baba",-93.5292
2021-03-16,"baba",-106.3603
2021-03-15,"baba",-100.1478
2021-03-12,"baba",-87.8966
2021-03-11,"baba",-64.3342
2021-03-10,"baba",-72.0656
2021-03-09,"baba",-70.1151
2021-03-08,"baba",-96.8339
2021-03-05,"baba",-80.8538
2021-03-04,"baba",-83.9184
2021-03-03,"baba",-67.3865
2021-03-02,"baba",-66.7273
2021-03-01,"baba",-51.2226
2021-02-26,"baba",-53.5727
2021-02-25,"baba",-42.1021
2021-02-24,"baba",-21.236
2021-02-23,"baba",-21.4004
2021-02-22,"baba",-2.5922
2021-02-19,"baba",25.5689
2021-02-18,"baba",23.5565
2021-02-17,"baba",41.0219
2021-02-16,"baba",45.6837
2021-02-12,"baba",35.5703
2021-02-11,"baba",42.0796
2021-02-10,"baba",35.7643
2021-02-09,"baba",30.4354
2021-02-08,"baba",24.9427
2021-02-05,"baba",30.6291
2021-02-04,"baba",37.3228
2021-02-03,"baba",29.592
2021-02-02,"baba",13.464
2021-02-01,"baba",23.5549
2021-01-29,"baba",7.3191
2021-01-28,"baba",20.0406
2021-01-27,"baba",25.8723
2021-01-26,"baba",32.0648
2021-01-25,"baba",25.6153
2021-01-22,"baba",18.1492
2021-01-21,"baba",25.088
2021-01-20,"baba",37.1988
