"time","symbol","RSI"
2020-06-15,"baba",52.3649
2020-06-12,"baba",52.4161
2020-06-11,"baba",52.2332
2020-06-10,"baba",52.9453
2020-06-09,"baba",52.7204
2020-06-08,"baba",52.5894
2020-06-05,"baba",52.6358
2020-06-04,"baba",52.5213
2020-06-03,"baba",52.569
2020-06-02,"baba",52.2449
2020-06-01,"baba",51.6488
2020-05-29,"baba",51.7166
2020-05-28,"baba",51.1006
2020-05-27,"baba",51.2398
2020-05-26,"baba",51.2842
2020-05-22,"baba",51.1265
2020-05-21,"baba",52.1624
2020-05-20,"baba",52.5561
2020-05-19,"baba",52.5911
2020-05-18,"baba",52.4436
2020-05-15,"baba",51.5375
2020-05-14,"baba",51.3482
2020-05-13,"baba",51.2016
2020-05-12,"baba",51.2727
2020-05-11,"baba",51.6998
2020-05-08,"baba",51.3664
2020-05-07,"baba",50.9905
2020-05-06,"baba",50.8844
2020-05-05,"baba",50.8724
2020-05-04,"baba",50.5617
2020-05-01,"baba",50.837
2020-04-30,"baba",51.5233
2020-04-29,"baba",51.8662
2020-04-28,"baba",51.4232
2020-04-27,"baba",51.6396
2020-04-24,"baba",51.6967
2020-04-23,"baba",51.7715
2020-04-22,"baba",52.1744
2020-04-21,"baba",51.968
2020-04-20,"baba",52.3793
2020-04-17,"baba",52.1725
2020-04-16,"baba",52.4448
2020-04-15,"baba",52.0913
2020-04-14,"baba",51.8222
2020-04-13,"baba",51.3944
2020-04-09,"baba",51.1463
2020-04-08,"baba",51.1147
2020-04-07,"baba",51.2854
2020-04-06,"baba",51.1609
2020-04-03,"baba",50.4008
2020-04-02,"baba",50.5509
2020-04-01,"baba",50.441
2020-03-31,"baba",51.0235
2020-03-30,"baba",50.7611
2020-03-27,"baba",50.5409
2020-03-26,"baba",51.112
2020-03-25,"baba",50.5536
2020-03-24,"baba",50.3189
2020-03-23,"baba",49.5205
2020-03-20,"baba",49.9414
2020-03-19,"baba",49.9055
2020-03-18,"baba",49.8306
2020-03-17,"baba",50.2394
2020-03-16,"baba",49.7309
2020-03-13,"baba",51.0503
2020-03-12,"baba",50.2793
2020-03-11,"baba",51.5325
2020-03-10,"baba",52.2342
2020-03-09,"baba",51.4668
2020-03-06,"baba",52.1332
2020-03-05,"baba",52.7977
2020-03-04,"baba",52.8469
2020-03-03,"baba",52.4461
2020-03-02,"baba",52.7964
2020-02-28,"baba",52.5331
2020-02-27,"baba",52.269
2020-02-26,"baba",52.633
2020-02-25,"baba",52.3545
2020-02-24,"baba",52.4084
2020-02-21,"baba",53.0433
2020-02-20,"baba",53.5908
2020-02-19,"baba",54.0081
2020-02-18,"baba",53.8668
2020-02-14,"baba",53.7893
2020-02-13,"baba",53.8632
2020-02-12,"baba",54.2646
2020-02-11,"baba",53.6467
2020-02-10,"baba",53.52
2020-02-07,"baba",53.597
2020-02-06,"baba",54.0415
2020-02-05,"baba",53.9824
2020-02-04,"baba",54.2539
2020-02-03,"baba",53.3964
2020-01-31,"baba",52.8106
2020-01-30,"baba",53.0133
2020-01-29,"baba",53.3656
2020-01-28,"baba",53.2046
2020-01-27,"baba",52.7731
2020-01-24,"baba",53.6289
2020-01-23,"baba",54.1971
2020-01-22,"baba",54.5433
2020-01-21,"baba",54.5335
2020-01-17,"baba",55.0896
2020-01-16,"baba",54.7799
2020-01-15,"baba",54.9008
2020-01-14,"baba",55.0552
2020-01-13,"baba",55.4884
2020-01-10,"baba",54.8999
2020-01-09,"baba",54.7163
2020-01-08,"baba",54.3755
2020-01-07,"baba",54.342
2020-01-06,"baba",54.2527
2020-01-03,"baba",54.2911
2020-01-02,"baba",54.5872
2021-08-13,"tcehy",48.3626
2021-08-12,"tcehy",48.5108
2021-08-11,"tcehy",48.7504
2021-08-10,"tcehy",48.6663
2021-08-09,"tcehy",48.4037
2021-08-06,"tcehy",47.8411
2021-08-05,"tcehy",47.7792
2021-08-04,"tcehy",48.0977
2021-08-03,"tcehy",47.6366
2021-08-02,"tcehy",48.4695
