"time","symbol","OBV"
2020-01-08,"jd",893825521
2020-01-07,"jd",905263478
2020-01-06,"jd",895048567
2020-01-03,"jd",885302208
2020-01-02,"jd",868369727
2021-08-13,"baba",699520673
2021-08-12,"baba",714822456
2021-08-11,"baba",727707896
2021-08-10,"baba",736692971
2021-08-09,"baba",726709291
2021-08-06,"baba",741366449
2021-08-05,"baba",753334168
2021-08-04,"baba",763215577
2021-08-03,"baba",740888296
2021-08-02,"baba",761004212
2021-07-30,"baba",743115018
2021-07-29,"baba",760365613
2021-07-28,"baba",737217341
2021-07-27,"baba",702682166
2021-07-26,"baba",761947826
2021-07-23,"baba",817684594
2021-07-22,"baba",843224455
2021-07-21,"baba",832661343
2021-07-20,"baba",825011014
2021-07-19,"baba",815024195
2021-07-16,"baba",830890014
2021-07-15,"baba",842040258
2021-07-14,"baba",827756675
2021-07-13,"baba",808272461
2021-07-12,"baba",790896580
2021-07-09,"baba",802156061
2021-07-08,"baba",785244795
2021-07-07,"baba",819237291
2021-07-06,"baba",837577715
2021-07-02,"baba",861297631
2021-07-01,"baba",874295666
2021-06-30,"baba",887623404
2021-06-29,"baba",896972033
2021-06-28,"baba",886698271
2021-06-25,"baba",873133361
2021-06-24,"baba",845749430
2021-06-23,"baba",832261186
2021-06-22,"baba",818475406
2021-06-21,"baba",807383319
2021-06-18,"baba",816657162
2021-06-17,"baba",802932536
2021-06-16,"baba",791698807
2021-06-15,"baba",802547918
2021-06-14,"baba",814714873
2021-06-11,"baba",803941796
2021-06-10,"baba",816218386
2021-06-09,"baba",826954282
2021-06-08,"baba",837187835
2021-06-07,"baba",846630884
2021-06-04,"baba",856559483
2021-06-03,"baba",847560391
2021-06-02,"baba",860008508
2021-06-01,"baba",846882091
2021-05-28,"baba",823829242
2021-05-27,"baba",813427768
2021-05-26,"baba",794747571
2021-05-25,"baba",785341795
2021-05-24,"baba",771225740
2021-05-21,"baba",787109985
2021-05-20,"baba",809935507
2021-05-19,"baba",790812077
2021-05-18,"baba",807842498
2021-05-17,"baba",788323049
2021-05-14,"baba",767793235
2021-05-13,"baba",736166394
2021-05-12,"baba",787860278
2021-05-11,"baba",808227161
2021-05-10,"baba",794339483
2021-05-07,"baba",811606194
2021-05-06,"baba",822156240
2021-05-05,"baba",834403906
2021-05-04,"baba",841647112
2021-05-03,"baba",854907599
2021-04-30,"baba",868528473
2021-04-29,"baba",877854870
2021-04-28,"baba",887407645
2021-04-27,"baba",878219932
2021-04-26,"baba",866573585
2021-04-23,"baba",858780709
2021-04-22,"baba",849808670
2021-04-21,"baba",861794883
2021-04-20,"baba",876110776
2021-04-19,"baba",888204725
2021-04-16,"baba",899420740
2021-04-15,"baba",913839536
2021-04-14,"baba",925128480
2021-04-13,"baba",937533649
2021-04-12,"baba",958326689
2021-04-09,"baba",900826422
2021-04-08,"baba",920589455
2021-04-07,"baba",908378127
2021-04-06,"baba",926412979
2021-04-05,"baba",908312616
2021-04-01,"baba",893350481
2021-03-31,"baba",916847945
2021-03-30,"baba",933673345
2021-03-29,"baba",948502004
2021-03-26,"baba",930472899
2021-03-25,"baba",908442149
2021-03-24,"baba",933261964
2021-03-23,"baba",949211814
2021-03-22,"baba",936916248
2021-03-19,"baba",948979419
2021-03-18,"baba",933019761
2021-03-17,"baba",918183681
2021-03-16,"baba",901234174
2021-03-15,"baba",920570766
2021-03-12,"baba",935091100
2021-03-11,"baba",952869546
2021-03-10,"baba",937707012
2021-03-09,"baba",948198188
2021-03-08,"baba",932906928
2021-03-05,"baba",950045308
2021-03-04,"baba",934056931
2021-03-03,"baba",957021779
2021-03-02,"baba",943450111
2021-03-01,"baba",958094304
2021-02-26,"baba",944050955
2021-02-25,"baba",961352933
2021-02-24,"baba",979153870
2021-02-23,"baba",991985523
2021-02-22,"baba",1007965788
2021-02-19,"baba",1022276843
2021-02-18,"baba",1036995286
2021-02-17,"baba",1052377634
2021-02-16,"baba",1039391474
2021-02-12,"baba",1022682816
2021-02-11,"baba",1032037898
2021-02-10,"baba",1016742106
2021-02-09,"baba",1003889842
2021-02-08,"baba",991594126
2021-02-05,"baba",1002352277
2021-02-04,"baba",1013370948
2021-02-03,"baba",996607972
2021-02-02,"baba",967428284
2021-02-01,"baba",996485054
2021-01-29,"baba",981195754
2021-01-28,"baba",995888743
2021-01-27,"baba",985643812
2021-01-26,"baba",1001694204
2021-01-25,"baba",987012978
2021-01-22,"baba",967534426
2021-01-21,"baba",981052673
2021-01-20,"baba",1001762556
2021-01-19,"baba",957121718
2021-01-15,"baba",933439833
2021-01-14,"baba",911878188
2021-01-13,"baba",880496553
2021-01-12,"baba",841691483
2021-01-11,"baba",860305972
2021-01-08,"baba",883342829
2021-01-07,"baba",848457894
2021-01-06,"baba",897819735
2021-01-05,"baba",934965792
2021-01-04,"baba",899141965
2020-12-31,"baba",924039823
2020-12-30,"baba",947491671
2020-12-29,"baba",902679372
2020-12-28,"baba",832963424
2020-12-24,"baba",760099580
2020-12-23,"baba",901929580
2020-12-22,"baba",891200428
2020-12-21,"baba",902686171
2020-12-18,"baba",891784391
2020-12-17,"baba",907766147
2020-12-16,"baba",893459577
