"time","symbol","AD"
2021-08-06,"baba",605748304.3475
2021-08-05,"baba",613047297.8035
2021-08-04,"baba",610698132.645
2021-08-03,"baba",606365973.645
2021-08-02,"baba",586693791.0862
2021-07-30,"baba",580976625.9934
2021-07-29,"baba",569036295.1608
2021-07-28,"baba",572640440.2395
2021-07-27,"baba",554786090.0574
2021-07-26,"baba",509127948.2251
2021-07-23,"baba",552116605.5454
2021-07-22,"baba",532098876.6535
2021-07-21,"baba",534635138.3738
2021-07-20,"baba",530419650.9657
2021-07-19,"baba",524939429.8482
2021-07-16,"baba",509997305.79
2021-07-15,"baba",517331423.5012
2021-07-14,"baba",518330618.1485
2021-07-13,"baba",534372132.6823
2021-07-12,"baba",541818938.8252
2021-07-09,"baba",536951302.9344
2021-07-08,"baba",527827194.0939
2021-07-07,"baba",534930103.7058
2021-07-06,"baba",551709640.5569
2021-07-02,"baba",557901842.5651
2021-07-01,"baba",559868650.4927
2021-06-30,"baba",572027929.2708
2021-06-29,"baba",572434391.4012
2021-06-28,"baba",563178337.3755
2021-06-25,"baba",564577117.0637
2021-06-24,"baba",547667913.7686
2021-06-23,"baba",542232352.7537
2021-06-22,"baba",541112258.1287
2021-06-21,"baba",534210515.1065
2021-06-18,"baba",529723171.7194
2021-06-17,"baba",529005268.2055
2021-06-16,"baba",525123023.6247
2021-06-15,"baba",528976337.3831
2021-06-14,"baba",539036025.9501
2021-06-11,"baba",537297362.3165
2021-06-10,"baba",543186133.1295
2021-06-09,"baba",546792399.3535
2021-06-08,"baba",556963169.8197
2021-06-07,"baba",560561810.2696
2021-06-04,"baba",561624280.2733
2021-06-03,"baba",553181833.1392
2021-06-02,"baba",557989560.9994
2021-06-01,"baba",548568181.0558
2021-05-28,"baba",559929605.6141
2021-05-27,"baba",554328811.9218
2021-05-26,"baba",570331301.502
2021-05-25,"baba",577694194.0269
2021-05-24,"baba",590695823.6322
2021-05-21,"baba",589880016.4871
2021-05-20,"baba",603681494.9057
2021-05-19,"baba",589453662.9857
2021-05-18,"baba",576940271.2115
2021-05-17,"baba",572515862.7715
2021-05-14,"baba",575227347.6395
2021-05-13,"baba",561985215.0257
2021-05-12,"baba",597952246.8276
2021-05-11,"baba",612490769.0327
2021-05-10,"baba",598636196.3438
2021-05-07,"baba",608130884.2951
2021-05-06,"baba",617214078.9796
2021-05-05,"baba",613865796.1882
2021-05-04,"baba",620776745.0322
2021-05-03,"baba",623261711.9162
2021-04-30,"baba",635442218.7174
2021-04-29,"baba",642311361.418
2021-04-28,"baba",646325279.7208
2021-04-27,"baba",653033263.9526
2021-04-26,"baba",646237560.4454
2021-04-23,"baba",643056199.0821
2021-04-22,"baba",640714100.548
2021-04-21,"baba",646765684.4217
2021-04-20,"baba",632868397.0242
2021-04-19,"baba",639305797.8041
2021-04-16,"baba",642644611.5385
2021-04-15,"baba",650899106.5458
2021-04-14,"baba",654485081.6731
2021-04-13,"baba",664655779.2383
2021-04-12,"baba",670200589.9049
2021-04-09,"baba",625230647.4328
2021-04-08,"baba",624018514.7421
2021-04-07,"baba",622099591.7707
2021-04-06,"baba",633537624.75
2021-04-05,"baba",623706756.667
2021-04-01,"baba",618128281.6423
2021-03-31,"baba",636410824.5997
2021-03-30,"baba",651503708.1641
2021-03-29,"baba",646015936.7231
2021-03-26,"baba",630562418.1517
2021-03-25,"baba",618419150.6894
2021-03-24,"baba",641618681.0306
2021-03-23,"baba",656183308.3259
2021-03-22,"baba",658983721.9345
2021-03-19,"baba",656557418.4189
2021-03-18,"baba",652847868.9724
2021-03-17,"baba",661131974.5561
2021-03-16,"baba",652087634.772
2021-03-15,"baba",658891250.4757
2021-03-12,"baba",645549177.4686
2021-03-11,"baba",649931114.7003
2021-03-10,"baba",638920226.9146
2021-03-09,"baba",647609405.2152
2021-03-08,"baba",635557247.0687
2021-03-05,"baba",651414252.8631
2021-03-04,"baba",645465548.936
2021-03-03,"baba",656159541.8249
2021-03-02,"baba",660156842.7217
2021-03-01,"baba",674167087.9728
2021-02-26,"baba",668875967.8113
2021-02-25,"baba",685652920.272
2021-02-24,"baba",703072532.4288
2021-02-23,"baba",701164235.3159
2021-02-22,"baba",690358303.1096
2021-02-19,"baba",704669358.1096
2021-02-18,"baba",716057021.9598
2021-02-17,"baba",714019360.2767
2021-02-16,"baba",709598417.2141
2021-02-12,"baba",723729904.3143
2021-02-11,"baba",724201589.1211
2021-02-10,"baba",732001143.1154
2021-02-09,"baba",730715916.7154
2021-02-08,"baba",722166963.96
2021-02-05,"baba",727715192.7776
2021-02-04,"baba",722001807.8147
2021-02-03,"baba",728157258.5271
2021-02-02,"baba",739240301.6612
2021-02-01,"baba",765857999.7269
2021-01-29,"baba",751535488.7121
2021-01-28,"baba",759416273.7212
2021-01-27,"baba",753085679.5655
2021-01-26,"baba",767522966.8419
2021-01-25,"baba",753323092.5141
2021-01-22,"baba",754091634.0215
2021-01-21,"baba",750145313.4687
2021-01-20,"baba",757872881.7523
2021-01-19,"baba",762974691.8095
2021-01-15,"baba",749183712.9385
2021-01-14,"baba",759074208.21
2021-01-13,"baba",768050987.9618
2021-01-12,"baba",757611877.5815
2021-01-11,"baba",772511544.4817
2021-01-08,"baba",781534642.1625
2021-01-07,"baba",760759770.0743
2021-01-06,"baba",741936187.7051
2021-01-05,"baba",768631183.652
2021-01-04,"baba",734847954.3925
2020-12-31,"baba",733542448.7296
2020-12-30,"baba",746872919.6887
2020-12-29,"baba",753305130.5689
2020-12-28,"baba",726189334.3186
2020-12-24,"baba",692960214.5081
2020-12-23,"baba",671157745.3062
2020-12-22,"baba",665637122.6746
2020-12-21,"baba",673830024.678
2020-12-18,"baba",663037994.1411
2020-12-17,"baba",674533643.1937
2020-12-16,"baba",662811485.8388
2020-12-15,"baba",653647817.3958
2020-12-14,"baba",642649522.7686
2020-12-11,"baba",661019415.7686
2020-12-10,"baba",657546738.5357
2020-12-09,"baba",652390878.93
2020-12-08,"baba",658814390.219
2020-12-07,"baba",659002091.9541
2020-12-04,"baba",660928372.6188
2020-12-03,"baba",670405436.3743
2020-12-02,"baba",664492869.5171
2020-12-01,"baba",667146451.7111
2020-11-30,"baba",664468517.0916
2020-11-27,"baba",687006673.9102
2020-11-25,"baba",691793560.9073
2020-11-24,"baba",685851826.0474
2020-11-23,"baba",669534998.6722
2020-11-20,"baba",674752836.723
2020-11-19,"baba",651215856.8051
2020-11-18,"baba",638457204.8227
2020-11-17,"baba",634525660.1004
2020-11-16,"baba",651520597.1111
2020-11-13,"baba",662743556.8223
2020-11-12,"baba",666558014.0097
2020-11-11,"baba",685278294.6176
2020-11-10,"baba",692380548.0754
2020-11-09,"baba",736220353.5955
2020-11-06,"baba",758679956.511
2020-11-05,"baba",737697045.3071
2020-11-04,"baba",717785524.9809
2020-11-03,"baba",703358789.141
2020-11-02,"baba",720238740.6314
2020-10-30,"baba",710733030.8297
2020-10-29,"baba",713033324.1154
2020-10-28,"baba",711977860.1799
2020-10-27,"baba",718563581.8626
2020-10-26,"baba",709577849.9516
2020-10-23,"baba",713330053.9294
2020-10-22,"baba",707913572.7332
2020-10-21,"baba",711584640.6541
2020-10-20,"baba",721769472.6541
2020-10-19,"baba",720357521.2448
2020-10-16,"baba",729364479.4909
2020-10-15,"baba",726439856.1037
2020-10-14,"baba",717808478.6515
2020-10-13,"baba",732199077.1842
2020-10-12,"baba",725141573.1441
